product_id,id_web,sku,price,total_sales,ca,price_zscore,premium
6926,15845,15845,49.9,1.0,49.9,0.6260923841586026,False
4391,11467,11467,49.5,0.0,0.0,0.6117223063080671,False
4392,11586,11586,49.5,0.0,0.0,0.6117223063080671,False
4364,11585,11585,49.5,1.0,49.5,0.6117223063080671,False
5486,16130,16130,49.5,9.0,445.5,0.6117223063080671,False
5925,15351,15351,49.5,2.0,99.0,0.6117223063080671,False
4970,11225,11225,49.5,0.0,0.0,0.6117223063080671,False
4651,11849,11849,49.0,0.0,0.0,0.5937597089948977,False
4604,15660,15660,49.0,1.0,49.0,0.5937597089948977,False
4334,7818,7818,49.0,96.0,4704.0,0.5937597089948977,False
4144,1662,1662,49.0,87.0,4263.0,0.5937597089948977,False
5548,13965,13965,48.8,0.0,0.0,0.5865746700696298,False
4658,13517,13517,48.8,0.0,0.0,0.5865746700696298,False
5003,15869,15869,48.7,0.0,0.0,0.5829821506069962,False
5006,15870,15870,48.7,0.0,0.0,0.5829821506069962,False
6666,16067,16067,48.5,0.0,0.0,0.5757971116817283,False
6038,15318,15318,48.5,0.0,0.0,0.5757971116817283,False
5922,15343,15343,48.5,17.0,824.5,0.5757971116817283,False
4211,15714,15714,48.5,1.0,48.5,0.5757971116817283,False
5522,15861,15861,48.4,1.0,48.4,0.5722045922190944,False
6631,15795,15795,47.2,0.0,0.0,0.529094358667488,False
6884,15735,15735,46.5,0.0,0.0,0.5039467224290507,False
6753,15256,15256,46.5,0.0,0.0,0.5039467224290507,False
6751,16144,16144,46.5,0.0,0.0,0.5039467224290507,False
6108,14797,14797,46.0,0.0,0.0,0.4859841251158813,False
5950,15432,15432,46.0,5.0,230.0,0.4859841251158813,False
6137,15834,15834,46.0,2.0,92.0,0.4859841251158813,False
4039,19815,19815,46.0,0.0,0.0,0.4859841251158813,False
4902,13052,13052,46.0,0.0,0.0,0.4859841251158813,False
6279,16247,16247,45.9,0.0,0.0,0.4823916056532474,False
5024,11996,11996,45.0,0.0,0.0,0.4500589304895425,False
5062,15713,15713,45.0,2.0,90.0,0.4500589304895425,False
5690,14647,14647,44.6,0.0,0.0,0.435688852639007,False
5700,14736,14736,44.5,1.0,44.5,0.4320963331763731,False
4053,13127,13127,44.3,23.0,1018.9,0.4249112942511052,False
4709,10775,10775,44.0,0.0,0.0,0.4141337358632037,False
6572,15704,15704,44.0,0.0,0.0,0.4141337358632037,False
4300,15567,15567,44.0,1.0,44.0,0.4141337358632037,False
4400,14768,14768,44.0,0.0,0.0,0.4141337358632037,False
4078,13435,13435,44.0,10.0,440.0,0.4141337358632037,False
4596,15476,15476,43.9,23.0,1009.7,0.4105412164005698,False
5905,12881,12881,43.9,2.0,87.8,0.4105412164005698,False
5487,16129,16129,43.5,3.0,130.5,0.3961711385500343,False
5488,14712,14712,43.5,0.0,0.0,0.3961711385500343,False
4657,11847,11847,43.0,0.0,0.0,0.3782085412368649,False
4656,10814,10814,43.0,0.0,0.0,0.3782085412368649,False
4045,16041,16041,42.6,14.0,596.4,0.3638384633863294,False
5756,7033,7033,42.2,4.0,168.8,0.3494683855357939,False
6622,15205,15205,42.2,0.0,0.0,0.3494683855357939,False
5742,15125,15125,42.1,0.0,0.0,0.34587586607316,False
6886,14897,14897,42.0,0.0,0.0,0.3422833466105261,False
5474,14679,14679,42.0,4.0,168.0,0.3422833466105261,False
4598,15478,15478,41.8,1.0,41.8,0.3350983076852582,False
6575,15479,15479,41.8,0.0,0.0,0.3350983076852582,False
6627,15791,15791,41.8,1.0,41.8,0.3350983076852582,False
4794,12771,12771,41.6,0.0,0.0,0.3279132687599906,False
5826,15325,15325,41.2,4.0,164.8,0.3135431909094551,False
4285,16153,16153,41.0,8.0,328.0,0.3063581519841873,False
4634,41,41,41.0,0.0,0.0,0.3063581519841873,False
4901,14802,14802,41.0,0.0,0.0,0.3063581519841873,False
6103,14100,14100,40.7,0.0,0.0,0.2955805935962857,False
6301,15745,15745,40.5,0.0,0.0,0.2883955546710179,False
6227,15163,15163,40.2,1.0,40.2,0.2776179962831163,False
4655,13516,13516,40.2,0.0,0.0,0.2776179962831163,False
5799,14461,14461,40.2,0.0,0.0,0.2776179962831163,False
6578,15647,15647,40.0,7.0,280.0,0.2704329573578485,False
4212,15717,15717,39.8,2.0,79.6,0.2632479184325806,False
4628,802,802,39.6,0.0,0.0,0.256062879507313,False
6109,15201,15201,39.2,1.0,39.2,0.2416928016567775,False
4299,16578,16578,39.1,0.0,0.0,0.2381002821941436,False
4357,9562,9562,39.0,0.0,0.0,0.2345077627315097,False
4081,13117,13117,39.0,4.0,156.0,0.2345077627315097,False
4141,304,304,39.0,40.0,1560.0,0.2345077627315097,False
5398,12315,12315,39.0,1.0,39.0,0.2345077627315097,False
4287,16065,16065,38.6,1.0,38.6,0.2201376848809742,False
5520,15863,15863,38.6,2.0,77.2,0.2201376848809742,False
5609,15930,15930,38.6,2.0,77.2,0.2201376848809742,False
5524,15864,15864,38.6,1.0,38.6,0.2201376848809742,False
6050,15134,15134,38.5,0.0,0.0,0.2165451654183403,False
5616,14845,14845,38.4,2.0,76.8,0.2129526459557063,False
